"Area","intercept","coef"
"Wyoming",1.60883856163579,-10.1033358944267
"Nebraska",2.37146216382286,-8.88934836615852
"South Dakota",2.08821109694012,-6.89244951237454
"North Dakota",3.9259089795843,-5.99467305276509
"New Mexico",1.45036300326314,-5.82525788949656
"Minnesota",1.5139227333286,-5.58267168372757
"Kentucky",1.54904854729443,-5.55962020920989
"Maine",1.46348134650326,-5.53599917339742
"Vermont",1.30285810765153,-5.5241215882033
"Georgia",2.05612652345979,-5.45501946925943
"Kansas",1.98765142357128,-5.41954768340768
"Montana",2.14686460408846,-5.39689423901883
"Tennessee",2.30000996794616,-5.33521139717361
"Missouri",1.2345269121292,-5.33062822960737
"Idaho",2.95698429159306,-5.23391136600103
"Mississippi",1.00258305899042,-5.19050429912058
"Arkansas",1.64723490272319,-5.11313900243391
"South Carolina",2.15302858882279,-4.97081440853738
"Pennsylvania",1.60982209458263,-4.85896301143462
"Arizona",2.43021563990281,-4.85884107311826
"Indiana",1.9188483512699,-4.84201202534844
"Maryland",1.61506635671909,-4.79638042327335
"Alabama",1.47649883649617,-4.68299436961316
"Oklahoma",2.44458353164133,-4.62079757458725
"North Carolina",2.25040117255781,-4.55161691143417
"Ohio",1.31534190644459,-4.50091317040353
"Iowa",1.42911301152152,-4.46590042769791
"New Hampshire",2.04753604586375,-4.40928324464441
"West Virginia",1.25711265789097,-4.35986868476767
"Texas",3.40040941493451,-4.35048159804868
"Connecticut",0.924517952581137,-4.32431957512571
"Colorado",2.88559190630235,-4.15561643184035
"Oregon",2.44542856175957,-4.15361736611372
"Alaska",1.38810280298185,-4.14826678359891
"Wisconsin",1.30162703294561,-4.07746214934333
"District of Columbia",1.60719751772,-3.98566809119803
"Florida",2.4266775654068,-3.94369513776895
"Utah",3.76923648672208,-3.8899463700882
"Virginia",1.88701357881771,-3.84460325977262
"Michigan",1.07985602537093,-3.78782630198866
"New Jersey",1.44866197956334,-3.61368093006507
"California",2.84204210113089,-3.49649728784445
"Illinois",1.10249888293308,-3.26828179527175
"Rhode Island",1.17261844229508,-3.26315112924826
"Washington",3.65184730367217,-3.20997642607918
"Nevada",2.13844043312008,-3.19630152465842
"New York",2.07977286742075,-3.18268431651521
"Louisiana",0.351609147894697,-3.03133664724994
"Massachusetts",2.34257424214414,-2.972160794933
"Delaware",1.45865138345549,-2.79881248304407
"Hawaii",1.45581084862197,-2.60699572674878
